,Joke,category
890,"One day, a little boy wrote to Santa Clause, ""Please send me a sister."" Santa Clause wrote him back, ""Ok, send me your mother.""",Children
4758,"Dick and Jane were arguing over the breakfast table. ""Oh you're so stupid!"" shouted Dick. ""Dick!"" said their father, ""That is enough! Now say you're sorry!"" ""Okay,"" said Dick, ""I am sorry you're stupid.""",Children
7260,"Harassment: The teacher asked Paco to use ""harassment"" in a sentence. Paco smiles and says......... ""Orale vato (homeboy)...Mi ruca (my girl) caught me in bed with my sancha (lover), pero ( but) that's okay porque (because) I told her that... HAR ASS MENT nothing to me.""",Children
2697,"One day, a teacher at an elementary school asks one of her students how clouds form. She replied ""I'm not sure how clouds form, but the clouds know how to form, and that's the important thing....""",Children
4086,"Johnny and his mother were having a parent-teacher conference. MOTHER: Johnny really enjoys having you as a teacher, Mrs. Bengal. JOHNNY: Really? I didn't know it was opposite day!",Children
934,"A little girl got on her grandpa's lap and said, ""Did God make me?"" ""Yes,"" the grandpa replied. ""Did God make you, too?"" ""Yes,"" the grandpa said. ""Well,"" the little girl said, while running her fingers down his wrinkles and looking at his thinning hair, ""He sure is doing a better job nowadays.""",Children
7731,"Girl: ""Have you ever been caught been wearing your mother's bra? Boy: ""No!"" Girl: ""So you have worn them but not been caught?""",Children
8082,"Two young cowboys - aged six and four - walked into the pretend bar for a drink. The older cowboy thumped his fist on the pretend bar and said to the pretend bartender, ""Bartender, gimme a rye whiskey!"" The younger cowboy was not to be outdone. ""Yeah, and make mine a whole wheat!""",Children
7324,"One day there were 3 children that were sent to the head of the school's office. Their names were Fly, Dick and Piss. When they got there, no one was there so Fly hid on the desk, Dick hid under the desk and Piss started to jump around. When the head of the school got there he said ""Fly down, Dick up and Piss on the floor!""",Children
8634,Mother: Did you eat all the cookies. Tom? Tom: I didn't touch one. Mother: That's strange. There's only one left. Tom: That's the one I didn't touch.,Children
8030,"There was a child who came back from school one day with loads of cuts and bruises and his bike broken. The concerned mother asked him what had happened. So, the child says ""Well, when the fridge landed on me...""",Children
6640,"""Have you ever had a tick before?"" asked Mel. ""No, I've only ever had crosses,"" replied Sally.",Children
784,"""Doctor, I'd like you to evaluate my 13 year-old son."" ""OK: He's most likely suffering from a transient psychosis with an intermittent rage disorder, punctuated by episodic radical mood swings, but his prognosis is good for full recovery."" ""How can you say all that without even meeting him?"" ""I thought you said he's 13?""",Children
7782,"The teenage son was having trouble mastering the fine points of balancing his new checking account. ""The bank returned the check you wrote to the sporting goods store,"" his mother said. ""Oh good,"" he replied, ""Now I can use it to buy some stereo equipment!""",Children
3958,"A little girl is helping her mommy with the dishes when she notices that some of her hairs are gray. She asks her mom, ""Why are some of your hairs gray?"" The mom replies cleverly, ""Whenever you make me cry or lie to me, one of my hairs turn gray."" The girl thinks for a minute, and then asks, ""Is that why all Grandma's hairs are gray?""",Children
1133,"A six-year-old comes crying to his mother because his little sister pulled his hair. ""Don't be angry at your sister,"" the mother says. ""She doesn't realize that pulling hair hurts."" A short while later, there's more crying, and the mother goes to investigate. This time the sister is bawling, and her brother says, ""Now she knows.""",Children
4390,"Sam: ""Cas, phone for you!"" Cas: ""Okay, thanks, Sam."" --BEEP OF PHONE BEING TURNED ON-- ""Hello? Oh, hi...."" --AFTER PHONE CONVERSATION-- Sam: ""So, who was it?"" Cas: ""Heather."" Sam: ""What did she want?"" Cas: ""Our phone number.""",Children
3750,"According to the news, Michael Jackson is broke and can't even afford the payroll at Neverland Ranch. So the next time you see Michael with his hands in a 12-year-old's pocket, he might just be looking for lunch money",Children
1158,Children certainly brighten up a home. Who ever saw a child under 12 turn off an electric light?,Children
4294,What is the difference between man and Superman? Man wears underwear under the trousers and Superman wears it over the trousers.,Children
4415,"One day a boy said to his mom, ""I'm a Picses, what are you?"" The the mom answered, ""Cancer."" The boy then asked in a shocked state, ""You killed Grandma?""",Children
8490,"A little girl was sat in science, when she wet herself. She goes to her teacher and says ""I've wet myself"". The teacher asks ""Why didn't you put your hand up?"" She replies ""I did, but it just ran down my hand!""",Children
5978,Grey hair is hereditary - you get it from your kids.,Children
5457,"At a friend's wedding, everything went smoothly, until it was time for the flower girl and her young escort to come down the aisle. The boy stopped at every pew, growling at the guests. When asked afterward, why he behaved so badly, he explained, ""I was just trying to be a good ring bear.""",Children
9119,"Early one morning, the milkman was doing his rounds. He stopped at a house to ask for his monthly fee, only to find a small boy at the door slurping from a beer bottle, smoking a Havana cigar, and with his arm around what appeared to be a call-girl. Surprised, the milkman asked the boy if his parents were home. ""Does it fucking look like it?""",Children
6871,"What did you learn in school today? Not enough, apparently. I have to go back tomorrow!",Children
4769,Child 1: Whatcha gonna do? Child 2: I'm gonna watch TV! Child 1: Guess what? I'm the QUEEN of the TV Freaks!,Children
8523,"Little Johnny's 2nd grade teacher was quizzing them on the alphabet. ""Johnny,"" she says, ""what comes after 'O'?"" Johnny says, ""Yeah!""",Children
2981,"A Sunday school teacher asked, ""Johnny, do you think Noah did a lot of fishing when he was on the Ark?"" ""No,"" replied Johnny. ""How could he, with just two worms?""",Children
2043,"Teacher: Alfred, how can one person make so many mistakes in one day? Alfred: I get up early.",Children
5861,"Teacher: Oscar, if you had five pieces of candy, and Joey asked for one, how many would you have left? Oscar: Five.",Children
4794,"Teacher: John, why is your cat at school today? John: (crying)..I heard the milkman tell mom..""When the kid goes to school i'm gonna eat your pussy!""",Children
5179,"Johnny: ""Dad, stop drinking my root beer!!! Do I get free refills?"" Dad: ""Sure -- I backwashed!""",Children
9258,"I have an 18-year-old; her name is Alexis. I chose that name because if I hadn't had her, I'd be driving one.",Children
2853,"Jack was summoned by the Disciplinarian where his son, Tracey was enrolled. Tracey always throw stones at his playmates and he never missed. Jack replied to the Disciplinarian : Sir, please look at the bright side. My son will grow up to be a very effective baseball pitcher.",Children
2982,"The Sunday School teacher was describing how Lot's wife looked back and turned into a pillar of salt, when little Johnny interrupted, ""My Mummy looked back once, while she was DRIVING,"" he announced triumphantly, ""and she turned into a telephone pole!""",Children
6015,"Bill had won a toy at a raffle. He called his kids together to ask which one should have the present. ""Who is the most obedient?"" he asked. ""Who never talks back to mother? Who does everything she says?"" Five small voices answered in unison: ""Okay, Dad, you get the toy.""",Children
3426,"A mother and a her daughter go to a restaurant for breakfast to celebrate her birthday. The restaurant is known for its imported cheeses. The mother asks, ""Would you like some cheese, my angel?"" The little girl says,""Sure, but can you take out the holes in the cheese?""",Children
9367,"Dad, have you got a ladder? Yes; why? I have to write an essay on an elephant!",Children
7376,"An eight year old girl tried checking a book out of the library, entitled 'Advice for Young Mothers'. The librarian, being a typically nosey and puritanical librarian, asked, ""Why do you want to check out this particular book, dear?"" The little girl replied, ""Because I collect moths.""",Children
1708,How do you make a Kleenex dance? Put a little boogie in it!,Children
5098,"Little Johnny: ""Hey, Daddy, Spot just ate Mom's apple pie that was on the counter to cool off!"" Dad: ""Don't worry, son. We'll get you a new dog.""",Children
4864,"My little sister recently asked me: ""Why does the conductor of the band always wave his magic wand, but the players never disappear?""",Children
9752,"3 year old kid: ""Guess what? Daddy got you a pway-station!"" 7 year old kid: ""Really??!! Where is it?"" 3 year old: ""It's in p-one mile!""",Children
1277,"A man came back from a long business trip to find that his son had a new $300 mountain bike. ""How'd you get that, son?"" ""By hiking."" ""Hiking?"" ""Yeah, every night, Mom's boss came over and gave me $20 to take a hike.""",Children
2324,"""Dad,"" said Little Johnny, ""I'm late for football practice. Would you please do my homework for me?"" Little Johnny's father said irately, ""Son, it just wouldn't be right."" ""That's okay,"" replied Little Johnny ""You could at least give it a try, couldn't you?""",Children
6832,"One day, at lunch at an elementary school, the cafeteria was serving swiss cheese. A little girl received her meal and was disgusted by it. ""Miss lunch lady,"" she said at the end of the line, ""I don't like the holes in my cheese."" ""That's okay,"" she said. ""Just eat around them and leave them on your plate.""",Children
5749,"There was a child named Laura. She asked her mom what the hardest report she ever had to do was. Her mom said, ""It was to write an essay on the belly of a frog."" Laura said, ""Wow!!How did you get the frog in to the typewriter?""",Children
7711,"A little boy walks into his parents' room and sees his parents having sex. ""And you smack me for sucking on my thumb, Mommy?!?"", the boy exclaims. A little boy asks his mom where babies come from. ""Well from the stork,"" Mom replies. ""So then who fucks the stork?"", The kid asks.",Children
6683,"A detective was questioning a burglary suspect. ""Where were you between five and six?"" he asked. ""In kindergarten!"" he replied",Children
3762,"I wish my name was Gary Boone! Do you wanna know why? Because, then, my name could be goon... you see, because you take the ""G"" from Gary and the ""oone"" from Boone to get Goon! But, you know, that's not the worst nickname. The person that does have the worst nickname is my friend, Phil Hart. I can't even tell you what we call him...",Children
3218,"Once, a teacher was showing a child a picture of a firefighter taking a child out of a burning building. The teacher asked what that was. The child replied,""A pregnant firefighter."" Instead of scolding him, she calmly asked,""Do you know what pregnant means?"" The little boy just said, ""Yes, it means to be carrying a child.""",Children
3288,"Teacher: Joey, your behavior is terrible! How many more times am I going to have to keep you in after school? Joey: 97. Teacher: 97? Joey: Yeah. That's how many days are left until the summer holidays.",Children
6282,What did the mama broom say to the little broom? Go to sweep little one.,Children
3333,"The number you have dialed is imaginary. Please rotate your phone 90 degrees and try again.""",Children
5501,"A policeman caught a nasty little boy, with a penknife in one hand and a squirrel in the other. ""Now listen here,"" the policeman said. ""Whatever you do to that poor, defenseless creature, I shall personally do to you"" ""In that case,"" said the boy, ""I'll kiss it on the forehead and let it go""",Children
7357,How does the butcher introduce his wife Meat Patty,Children
9937,"What happens to you if you can not read? Well, since you'll probably be staying in Kindergarten, less homework!",Children
7487,"Baby Brother Little Johnny's new baby brother was screaming up a storm. He asked his mom, ""Where'd we get him?"" His mother says, ""Heaven, Johnny."" Johnny says, ""Geez, I can see why they threw him out.""",Children
1248,"Little Johnny watched, fascinated, as his mother smoothed cold cream on her face. ""Why do you do that, mommy?"" he asked. ""To make myself beautiful,"" said his mother, who then began removing the cream with a tissue. ""What's the matter?"" asked Little Johnny. ""Giving up?""",Children
2240,"A father was reading Bible stories to his young son. He read, ""The man named Lot was warned to take his wife and flee out of the city, but his wife looked back and was turned to salt."" His son asked, ""What happened to the flea?""",Children
3189,"Child: ""Teacher! I can't find my boots!"" Teacher: ""Are you sure?"" Child: ""Yes! There is only one pair left, and it's not mine!"" Teacher:""Are you sure?"" Child:"" Definitely! Mine had snow on them!""",Children
8029,"This really happened (honest!) A bunch of very young girls arrived at our door at Halloween. My Mum, being friendly, asked them whereabouts they lived, because she hadn't seen them before. They replied, ""We live quite near here, where do you live?""",Children
5932,"Jr: This year I failed every class except biology. Mary: How did you do that? Jr: Easy, I didn't take biology",Children
4753,"One night, a little boy and his father were having a conversation. The father asked the boy, ""Can you say your ABC's, son?"" ""Yes I can! A...B..C..."" and he goes through the whole alphebet. The father then said, ""That's good, but can you say it backwords?"" The boy smiles and says, ""yeah"", so he turns around and says, ""A...B...C...""",Children
9368,"Johnny comes home from school, and shouts, ""Mother!"" Mother calls from upstairs, ""If you wish to speak to me, come upstairs so you don't have to shout."" When Johnny gets upstairs, she says, ""Now, what did you want to say to me?"" ""Just that I trod in some dog do, but it seems to have gone now!""",Children
5930,Teacher: I hope I didn't see you copying the test from your friend. Student: I hope you didn't either,Children
3171,"Teacher: Larry, name two pronouns. Larry: Who, Me? Teacher: That answer is correct.",Children
9825,"A woman gets on a bus with her baby. The bus driver says: ''Ugh, that's the ugliest baby I've ever seen!'' The woman walks to the rear of the bus and sits down, fuming. She says to a man next to her: ''The driver just insulted me!'' The man says: ''You go up there and tell him off. Go on, I'll hold your monkey for you.''",Children
3011,Why did the teacher have to put on her glasses during class? Because the kids were to bright!,Children
4030,Why did the kid walk backwards to school? Because it was back to school day!,Children
5796,"Max: Here I am, once again! I'm torn into pieces...can't deny it, can't pretend! Just thought you were the one! Broken up, deep inside. But you don't get to see these tears I cry....BEHIND THESE HAZEL EYES! Bailey: So, wha'd you do with the money? Max: What money??? Bailey: The money your mom gave you for voice lessons!",Children
5009,Boy: May I hold your hand? Girl: It isn't very heavy. I think I can carry it myself.,Children
8289,"Covina, Calif: I recall reading something years ago about the Pledge of Allegiance. Some child thought it began, ""I led the pigeons to the flag."" Cleveland, Ohio: When I was little, I often wondered who Richard Stands was. You know - ""I pledge allegiance to the flag and to the Republic for Richard Stands.""",Children
7554,"Teacher: What a pair of strange socks you are wearing, one is green and one is blue with red spots ! Student: Yes it's really strange. I've got another pair just like that at home",Children
7321,"A pregnant woman was taking a shower and her three year old daughter said,""Mommy, you're getting fat!""And the mother replied,""That because a baby is growing in my tummy.""To which the daughter said,""Yeah,but what's growing in you butt?""",Children
2860,"A dad to his son: If someone calls for me, tell him that I'm out. The son: And if he doesn't call?",Children
6641,"Teacher: Vincent, not to be presumptuous, but your short story is truly fantastic. Did you really write it? Vincent: Yes, I wrote, while my mother dictated...",Children
7314,What's worse than 10 babies in one dumpster? 1 baby in 10 dumpsters.,Children
4878,"A mother explained to her daughter, ""We didn't have TVs not to long time ago, sweetie."" She looks at her mother strangely and asks, ""Then how did they play their VCR's?",Children
1521,Why did the bubblegum cross the road? Because he was stuck to the chickens leg.,Children
8184,"Children are natural mimics, who act like their parents despite every effort to teach them good manners.",Children
1040,"A teacher was having trouble teaching arithmetic to one little boy. So she said, ""If you reached in your right pocket and found a nickel, and you reached in your left pocket and found another one, what would you have?"" ""Somebody else's pants."" the boy replied.",Children
7788,"A boy comes home from school saying, ""3rd grade math has way bigger numbers than 2nd grade!"" His dad replies, ""Don't worry, when you start getting a paycheck they get smaller again.""",Children
3353,"BOB- We were learning about fractions today in math class. JOE- Oh, really? What did you learn? BOB- One half of what I was supposed to!",Children
5782,Mom: How did you do on your history test? Kid: Not good. Mom: Why? Kid: They asked me things that happened before I was born!,Children
8049,Jack and Jill went up the hill to have a quiet smoke. Jack returned with lung cancer and Jill a fatal stroke.,Children
6684,"A young boy called to his mother from the yard, ""Mom, would you rather me fall out of a tree and break my arm or just tear a hole in my Sunday slacks?"" ""Well,"" she replied, ""I guess I'd pray that you just ripped your pants."" The kid yells back, ""Your prayers have been answered!""",Children
1948,"One day my wife was changing my daughter's diaper, and my 3 year old son walked in and saw her and asked, ""Mommy, where is her thingy?"" I almost had a heart attack, laughing so hard that day.",Children
5393,"A little boy was in a bookstore with his dad. They were browsing for books when the little kid said,""You know American Idol?"" His dad said, ""Yeah."" The kid then said, ""If they win, they'll become poptarts!""",Children
1529,"Joe and Ted finished an exam and talked to each other afterwards. ""I did terrible,"" said Joe. ""I think I was filling in the wrong bubbles!"" ""Me too,"" replied Ted. ""Well, why did you do terrible?"" asked Joe. ""I forgot to bring a pencil!""",Children
7167,"Two kids were bragging about the toys they owned. One of them said, ""This is Action Man! He's been in Viet Nam, Operation Desert Storm, Iraq - and the vacuum cleaner twice!""",Children
3196,"Child: Mommy, why am I so skinny? Mommy: Don't worry about it, dear. When your father was born, he only weighed four pounds. Child: Really? Did he live?",Children
4314,How did Hellen Keller's mother punish her??? rearranging her furniture.,Children
3175,"Teacher: Name an animal that lives in the tundra. Pupil:A reindeer. Teacher: Good, now name another one. Pupil: Another reindeer.",Children
6656,"Steve is playing with his 3 friends at his tree in the back garden, and his mum comes out and shouts, ""If all four of you fall out of that tree and break both legs, then don't come running to me!""",Children
341,"A little boy was in his room playing with himself, when his father walked in. ""Son! If you masturbate too much, you're gonna go blind!"" ""Dad,"" the boy said, ""I'm over here.""",Children
9107,"When my pap was younger, his family didn't have much money. One year for Christmas, his mother cut a hole in the front of his underwear so he would have something to play with.",Children
9747,"If you copy from your textbooks, it's making good use of what you've learnt. If you copy from anywhere else, it's plagiarism.",Children
5862,"Teacher: If you stood with your back to the north and faced due south, what would be on your left hand? Lisa: Fingers",Children
8094,"Billy's teacher sent a note home to Mom saying, ""Billy is a very bright boy, but spends much too much time thinking about girls and sex."" The next day Mom sent a note back to the teacher saying, ""If you happen to find a solution, please advise. I have the same problem with his Dad.""",Children
1170,"Once there was a mom and a dad , they had a daughter called Angelica. So the dad was very thirsty because he had been driving a lot, so he asked his daughter ""sweetheart can I have some of your juice?"" She answers ""daddy no drinking and driving, that's what the law says!!!""",Children
3156,Child: Mom! I got a 100% on my homework! Mom: Really? On what subject? Child: A 40% on science and a 60% on spelling.,Children
7954,"A father in a hurry, taking his 8-year-old son to school, made a turn at a red light, where it wasn't allowed. ""Uh-oh, I just made an illegal turn!"" he said. ""That's OK, Dad,"" his son replied. ""The police car right behind us did the same thing.""",Children
280,"There was a little boy and a little girl in a bathtub having a bath. Suddenly the little girl looked down at the boy. ""Can I touch it?"" ""No way -- you already broke yours off!""",Children
2320,"A little boy asked his mother: Mummy, why are you white and I am black? Don't even ask me that, when I remember that party..., you are lucky that you don't bark.",Children
3921,"One day a father and his daughter were driving down the street when the father said, ""Look! A bunny. Can you say bunny, bu-nny?"" ""Bunny!"" the daughter replied. They suddenly felt the car go over a bump. Then the girl said, "" Daddy, its not a bunny anymore."" ""What is it then?"" he asked. The daughter replied, ""Can you say roadkill, road-kill?""",Children
9131,"A child named Bob was running through the neighbor's garden. ""Hey!"" shouted the neighbor, ""I thought I told you not to let me catch you here again!"" ""Right!"" replied the boy, ""and you haven't caught me yet!""",Children
8922,"Two five year-olds, one Jewish, the other Catholic, are playing in a sandpit. Sean says to David, ""Our priest knows more about things than your rabbi!"" To which David replies, ""Of course he does, you tell him everything.""",Children
5125,"A Girl went up to her mother and asked, ""Mum, is Amsterdam a swear word?"" ""No, why?"" She asked. ""Is Rotterdam a swear word?"" she asked. ""No, why?"" her mother repeated. ""Well, I heard little sister talking behind my back after I showed her my lollipop, and she said 'I hope that that lollipop rot her damn teeth!'""",Children
3187,"Teacher: Jimmy! Count from one all the way to ten! Jimmy: 1,2,3,4,5,6,7,8,9,10. Teacher: Good, now what comes after that? Jimmy:Jack, queen and king!",Children
4418,"A boy was going to church on Sunday. His mom gave him $40 so that he could put $20 in the offering plate and use $20 to buy anything on the way. On his way to the church he lost the $40, so he went back to look for it. He found $20, then looked up and said, ""God, here is mine. Go and look for yours!""",Children
2670,The main purpose of holding children's parties is to remind yourself that there are children more awful than your own.,Children
5625,"I don't get why we teach little kids the popular saying ""Cross my heart, hope to die, stick a needle in my eye."" And we wonder what is with all the violence? I mean come on that's like 100% emo.",Children
9722,"Before he left on a business trip, the father took his young son aside. ""Terence, I'm trusting you to take care of the family while I'm gone. You're going to be the man of the house."" Comprehending the gravity of the situation, Terence replied soberly, ""In that case, I'm gonna need the remote.""",Children
5464,"An elementary school teacher asked her students to write a truthful report on what they would do if they had a million dollars. There was only one student who recieved an A, and the rest failed for lying. This was the paper with the A: Johnny ...",Children
646,"A priest was walking down the street when he saw a little boy jumping up and down to try to reach a doorbell. So the priest walked over and pressed the button for the youngster. ""And now what, my little man?"" he asked. ""Now,"" said the boy, ""run like hell!""",Children
8397,"Little Johnny was eating breakfast one morning. He got to thinking about things, and asked, ""Mommy, why does Daddy have so little hair on his head?"" ""He thinks a lot, dear,"" replied his mother, pleased with herself for coming up with a such good answer to her husband's baldness. ""Then why do you have so much hair?"" asked Little Johnny.",Children
6201,"Justin: If you give me a quarter, I'll give you everything in my lunch box. Zach: That depends... what's in your lunchbox? Justin: Nothing!",Children
6238,"A six-year-old boy came home from playing at his friend's house and told his mother that he had broken a lamp when he threw a football. ""It's all right, mum,"" he said, brightly; ""you don't have to buy them another! Charlie's mum said it was irreplaceable!""",Children
4299,"One day, 15 year old Christy came home from shopping with her Auntie Kim and Auntie Flo. Christy says to her 6 year old sister, ""Auntie Kim has bad taste, but Auntie Flo has good taste."" Her sister then says, ""How do you know? Have you bitten them before?""",Children
8193,"A precocious 4-year-old was brought to the ER with a severe cough, a nurse writes. She kept up a non-stop conversation while I was trying to assess her lung sounds. Finally, I said, ""Shhh, I have to see if Barney is in there."" The child looked at me and said, ""I have Jesus in my heart. Barney is on my underwear.""",Children
6107,"Mom: ""Why have you been sent home early, Jack?"" Jack: ""Because the boy next to me was smoking."" Mom: ""But if he was smoking, why were you sent home?"" Jack: ""Because I set him on fire!""",Children
5955,"A British girl recently moved to the United States and their home was near the Colorado River in Texas. The English teacher asked the kids to write about their home and neighborhood. The British girl wrote ""My home is near the Colourado River."" as part of her work.",Children
1630,Children in the back of the car cause accidents. Accidents in the back of the car cause children,Children
3507,"Mom (Reprimandingly): Julia! How many times must I tell you not to pull the cat's tail? Julia (Innocently): But Mom, I'm only holding the tail. It's the cat that's doing the pulling.",Children
3174,"Teacher: Alvin, how many letters are in the alphabet? Alvin: 18. Teacher: Wrong, there are 26. Alvin: No, teacher, there used to be 26, but ET went home in a UFO and the CIA went after him.",Children
3855,"Teacher: Recite your tables to me, Joan. Joan: Dining table, kitchen table, bedside table...",Children
1546,"A mother was reading a book about animals to her 3 year old daughter: Mother: ""What does the cow say?"" Child: ""Moooo!"" Mother: ""Great! What does the cat say?"" Child: ""Meow."" Mother: ""Oh, you're so smart! What does the frog say?"" The wide-eyed little three-year-old looked up at her mother and replied, Child: ""Bud.""",Children
8813,"In the school the biology teacher asks the class a question. ""Where is an elephant's sex organ?"" Little Johnny, ""In his feet ma'am."" Teacher, ""How come?"" ""If he steps on you, you're fucked.""",Children
1188,"A three-year-old boy went with his dad to see a litter of kittens. On returning home, he breathlessly informed his mother, ""There were two boy kittens and two girl kittens."" ""How did you know?"" his mother asked. Daddy picked them up and looked underneath, he replied, ""I think it's printed on the bottom.""",Children
2906,"Molly wrote a letter to Santa Claus one day. Dear Santa, Please give me a Workout Barbie and a new milkman because he is sleeping with Mommy. Love, Molly",Children
7052,"A three-year old put his shoes on by himself. His mother noticed that the left was on the right and the right was on the left. She said, ""Paul, your shoes are on the wrong feet."" He looked up at her and said, ""No they're not, Mom. I KNOW they're my feet.""",Children
7172,"Little Bobby had been searching through a stationer's stock of greeting cards for some time when a clerk asked, ""Just what is it you're looking for? A birthday greeting, message to a sick friend? An anniversary, or a congratulations to your mom and dad?"" Little Bobby shook his head and answered, ""No. Er...got any blank report cards?""",Children
1155,"Finding one of her students making faces at others on the playground, Ms. Smith, the Sunday School teacher, smiling sweetly said, ""Bobby, when I was a child I was told if that I made ugly an face, it would freeze and I would stay like that."" Bobby looked up and replied, ""Well, Ms. Smith, you can't say you weren't warned.""",Children
7140,"A little boy is adopted from Korea and is flown to the USA to meet his new parents. A few years later the parents decide to adopt again on the way to the airport the little boy sees planes coming in to land. He says to his mother, ""Look at all the babies being born."" (he thinks all babies come on air planes Ha Ha)",Children
7480,What happens when a lion roars? Tom n Jerry starts!,Children
3364,"Little johnny walked into a club where people were doing the macarena. He watched them for a while, and asked someone: ""What are you guys doing? Searching for your wallets?""",Children
970,Boy: Will you punish me for something I didn't do? Teacher: Of course not! Boy: Good cause I didn't do my homework!,Children
1707,"What do u call, a hippopotamus that dances? A hiphopanominus",Children
2669,We child-proofed our home 3 years ago but they're still getting in!,Children
8819,Sean: I've finally cleared my mind! Dean: Does your new one work?,Children
2900,"Librarian: ""Please be quiet. The people next to you can't read."" Boy: ""What a shame! I've been reading since I was six.""",Children
9161,"The teacher told one kid, ""You're going to flunk this subject because you haven't finished your homework assignments."" The kid said, ""Good. I flunked all the other ones because I'm stupid.""",Children
2859,"One to his friend: ""My little brother started walking last week!"" The other friend: ""Where did he go? He should be kilometers away!""",Children
4678,"BOB: Have you changed the water in the fish bowl yet? MARGE: No, it hasn't drunk the water I gave it a week ago.",Children
9221,"A kid named Ron lost his mom and dad. He went to the hospital to say, ""I wanna baby! Waaaaaaaaaaa!"" The nurse said, ""You're a male! Males don't have babies! And you're too young!"" He died by biting his finger really hard.",Children
645,Pride is what you feel when your kids net $143 from a garage sale. Panic is what you feel when you realize your car is missing.,Children
7328,"Four-year-old Robert tells his kindergarten teacher that he has a new baby brother, called Spot. ""Spot?"" says the teacher. ""Are you sure it's not a puppy your Dad bought you?"" Robert was adamant that his brother's name was Spot - until next morning, when he issued a correction. ""Actually, it's Mark.""",Children
3279,"My grandfather always said, ""Don't watch your money; watch your health."" So one day while I was watching my health, someone stole my money. It was my grandfather.",Children
6730,"Little Johnny is approached by the lifeguard at the public swimming pool. ""You're not allowed to pee in the pool,"" says the lifeguard. ""I'm going to report you."" ""But everyone pees in the pool,"" whined Little Johnny. ""Maybe,"" answered the lifeguard, ""but not from the diving board!""",Children
6267,"Little Johnny's mother took him to a supermarket to buy some food. ""Anything you break comes out of your allowance money!"" shouted Johnny's mother. Johnny turned around and said ""But you don't give me any allowance money!"" ""Yes, and now you know why.""",Children
6355,"A daddy was listening to his child say his prayer ""Dear Harold."" At this, dad interrupted and said, ""Wait a minute, why did you call God 'Harold'?"" The little boy looked up and said, ""That's what they call Him in church. You know the prayer we say, ""Our Father, who art in Heaven, Harold be Thy name...""",Children
5108,"A woman answered her front door and found Little Johnny and Billy holding a list. ""Lady,"" Johnny explained, ""we're on a scavenger hunt, and we still need three grains of wheat, a pork-chop bone and a piece of used carbon paper to earn a dollar."" ""Wow,"" the woman replied. ""Who sent you on such a challenging hunt?"" ""Our baby-sitter's boyfriend.""",Children
3761,What's the difference between boogers and broccoli? Kids don't eat broccoli.,Children
936,"Little Johnny came running into the house and asked, ""Mommy, can little girls have babies?"" ""No,"" said his mom, ""Of course not."" Little Johnny then ran back outside and his mom heard him yell to his friends, ""It's okay, we can play that game again!""",Children
5817,"Teacher: If you found five pence in one pocket and ten pence in the other,what would you have? Willy: Somebody else's trousers.",Children
8466,"A boy was working on circumferences for homework when his mother came in and said, ""Do you want some pie?"" The boy replied, ""Sure."" So the mother was saying ""3.141592..."" over and over and then said, ""Want some ratio?""",Children
3763,"Teacher: ""Johnny, what is the outside of a tree called?"" Johnny: ""I don't know."" Teacher: ""Bark, Johnny, bark."" Johnny: ""Bow, wow, wow!""",Children
6599,"Little Johnny's mum was sitting in front of computer while Johnny was making sandwiches. She said to Johhny, ""You're the best sandwich maker ever,"" and Johnny says ""No mum, you're just lazy."" hahahahahahahahahahaha",Children
9942,"A boy and his mom were playing the new game of life were you could put your house were you wanted it. The boy put it on the left side. On his next turn he moved it onto the right side. The mom asked why he did that and he said, ""I wanted to live on the other side of life.""",Children
4451,Q.)Your child poops in their pants- what do you do? A.)Drop off the child at day-care and make them change it.,Children
6916,"My mom had just placed some flypaper out when my little cousin wandered in. She was fascinated watching the flies get caught. Finally, my mom asked, ""Molly, don't you have flies in your house?"" ""Yeah, we have flies. We just don't have anything for them to sit on.""",Children
3449,"Little Johnny: Hey dad, are bugs good to eat? Dad: Son, let's not talk about that at the dinner table, okay? Little Johnny and his dad were talking after dinner... Dad: So what did you want to say about bugs? Little Johnny: Oh, nothing. There was one in your soup, but it's gone now!",Children
7604,"Teacher: ""How come you do not comb your hair?"" Billy: ""No comb, Sir."" Teacher: ""Use your dad's then."" Billy: ""No hair, Sir.""",Children
6319,"Billy-Bob returns from school and tells his father he got an ""F"" in Arithmetic today. ""Why?"" asks his father. ""The teacher asked, 'How much is 2 x 3?' I said, '6'"". ""But that's right,"" said his father. ""Then she asked me 'How much is 3 x 2?'."" ""What's the fucking difference?"" asks his father. ""That's what I said!""",Children
6108,"Teacher: ""Simon! What does it mean if the barometer falls?"" Simon: ""Err.. The nail's come out of the wall, miss?""",Children
5127,"""Hey, Mom,"" asked Johnny ""Can you give me twenty dollars?"" ""Certainly not."" ""If you do,"" he went on, ""I'll tell you what dad said to the maid when you were at the beauty shop."" His mother's ears perked up and, grabbing her purse, she handed over the money. ""Well? What did he say?"" ""He said, 'Hey, Marie, make sure you wash my socks tomorrow.'""",Children
6109,"Coming home from his Little League game, Billy swung open the front door very excited. Unable to attend the game, his father immediately wanted to know what happened. 'So, how did you do, son?' he asked. 'You'll never believe it!' Billy said. 'I was responsible for the winning run!' 'Really? How'd you do that?' 'I dropped the ball.'",Children
